Nr,Success,Iteration,Total points,Tærskel,Minimum_inliers,Maximum_iterations,Found_inliers,Avg_Dist2,Time_spent,Added_outliers
128,True,2,399,5,280,200,299,0.32020315998479626,0.008189399999537272,100
129,True,3,399,5,280,200,299,0.2993661453085705,0.01074969999899622,100
130,True,2,399,5,280,200,297,0.9702387096314039,0.008162499998434214,100
131,True,14,399,5,280,200,299,0.13602357626847073,0.039559400000143796,100
132,True,1,399,5,280,200,299,0.19943071203533358,0.005465800000820309,100
133,True,4,399,5,280,200,299,0.23777535466535624,0.013766199999736273,100
134,True,15,399,5,280,200,290,0.8317978291611614,0.041657499999928405,100
135,True,7,399,5,280,200,299,0.22141192990061442,0.02090409999982512,100
136,True,1,399,5,280,200,299,0.10258277295360133,0.005446499999379739,100
137,True,24,399,5,280,200,299,0.06336890906392521,0.06544229999963136,100
138,True,28,399,5,280,200,299,0.08955163117479424,0.07723279999845545,100
139,True,0,399,5,280,200,299,0.08738298087600496,0.002882799999497365,100
140,True,0,399,5,280,200,299,0.2496868654815109,0.002982599999086233,100
141,True,3,399,5,280,200,299,0.318223459796469,0.01053949999914039,100
142,True,0,399,5,280,200,299,0.3425089992693395,0.003009399999427842,100
143,True,1,399,5,280,200,299,0.5189998514213308,0.005527499999516294,100
144,True,34,399,5,280,200,299,0.15017565800706603,0.09272859999873617,100
145,True,5,399,5,280,200,286,0.7410941029432356,0.01640890000089712,100
146,True,1,399,5,280,200,299,0.2850781161360535,0.005947300000116229,100
147,True,0,399,5,280,200,282,0.5733736582351882,0.0029288999994605547,100
148,True,3,399,5,280,200,299,0.08939280545846533,0.010740200001237099,100
149,True,3,399,5,280,200,299,0.12782518365633289,0.011176399999385467,100
150,True,40,399,5,280,200,287,0.808782957410018,0.10689249999995809,100
151,True,1,399,5,280,200,299,0.4386834113757449,0.005756999998993706,100
152,True,0,399,5,280,200,299,0.09615041904830526,0.002812499998981366,100
153,True,10,399,5,280,200,299,0.3737950385421492,0.028285399999731453,100
154,True,3,399,5,280,200,299,0.416596398575693,0.010312099999282509,100
155,True,19,399,5,280,200,294,0.548699307752954,0.05147840000063297,100
156,True,0,399,5,280,200,299,0.10257359111286701,0.0029025000003457535,100
157,True,12,399,5,280,200,298,0.2917116850338779,0.03347329999996873,100
158,True,8,399,5,280,200,297,0.7006196759030454,0.023620799998752773,100
159,True,16,399,5,280,200,299,0.22549681523115334,0.04467120000117575,100
160,True,1,399,5,280,200,299,0.0795460600896584,0.005524299998796778,100
161,True,0,399,5,280,200,299,0.41454508038713034,0.0028935999998793704,100
162,True,1,399,5,280,200,299,0.2929536248907723,0.005616899999949965,100
163,True,7,399,5,280,200,297,0.39725335504890436,0.022281999999904656,100
164,True,6,399,5,280,200,299,0.2602971780690387,0.018635599999470287,100
165,True,1,399,5,280,200,299,0.19036506212619778,0.005414499999460531,100
166,True,1,399,5,280,200,295,0.8185312467955002,0.005510799999683513,100
167,True,11,399,5,280,200,299,0.09100915354299026,0.0315866000000824,100
168,True,10,399,5,280,200,299,0.407064994860284,0.02880849999928614,100
169,True,8,399,5,280,200,299,0.07892277789560757,0.023854699998992146,100
170,True,0,399,5,280,200,299,0.2325818831914413,0.0029032000002189307,100
171,True,13,399,5,280,200,291,0.7795079875727086,0.03671149999900081,100
172,True,0,399,5,280,200,299,0.09635106308408563,0.002925599999798578,100
173,True,4,399,5,280,200,299,0.09259824812032715,0.013348500000574859,100
174,True,5,399,5,280,200,299,0.28680445275348976,0.01620800000091549,100
175,True,13,399,5,280,200,299,0.24132179330058406,0.036075399999390356,100
176,True,17,399,5,280,200,299,0.32718346463810627,0.04708860000027926,100
177,True,17,399,5,280,200,295,0.541018563554741,0.047638500000175554,100
178,True,0,399,5,280,200,284,0.8394362432770327,0.0028953999990335433,100
179,True,15,399,5,280,200,294,0.8256367368998618,0.04185179999876709,100
180,True,0,399,5,280,200,292,0.4312875546873911,0.0028923999998369254,100
181,True,1,399,5,280,200,289,0.42018350279114236,0.005452499999591964,100
182,True,8,399,5,280,200,299,0.1428970145026104,0.024183999999877415,100
183,True,1,399,5,280,200,299,0.3747689124603865,0.005479799998283852,100
184,True,0,399,5,280,200,299,0.13677559803836478,0.002888600000005681,100
185,True,1,399,5,280,200,299,0.09848100291369127,0.005644099999699392,100
186,True,9,399,5,280,200,289,0.5306824600480955,0.026160399998843786,100
187,True,2,399,5,280,200,287,0.63118340917209,0.008102100000542123,100
188,True,4,399,5,280,200,299,0.11440193902924763,0.013195599998653051,100
189,True,2,399,5,280,200,299,0.11983272701474777,0.00802789999943343,100
